UniProt,Compounds
A6NCN2,1
A6NDG6,1
A6NMY6,1
O00115,1
O00221,1
O00468,1
O00512,1
O00624,1
O00626,1
O14641|O15169,1
O14764,1
O14829,1
O14950,1
O14965|P40337,1
O14976|P40337,1
O14976|Q96SW2,1
O15075|P40337,1
O15117,1
O15169|P98164,1
O15379|O60341|P40337|Q9UKL0,1
O15393|P40337,1
O15431,1
O15432,1
O15492,1
O15503,1
O15553,1
O43315,1
O43790,1
O43921,1
O60333,1
O60341|Q9UK73,1
O60755|O43603|P47211,1
O60885|Q9Y508,1
O60939,1
O75015,1
O75116|P61586,1
O75153,1
O75376|Q9UK73,1
O75530|Q9GZQ8,1
O75578,1
O75626,1
O75807,1
O76027,1
O76036,1
O95147,1
O95153,1
O95631,1
O95718|P40337,1
O95907,1
P00519|P98170|P11274|Q13490,1
P00533|P62136,1
P00742|P12259,1
P01034|Q96SW2,1
P01100,1
P01111|Q96SW2,1
P01112|Q96SW2,1
P01137|P61812|P10600,1
P01213,1
P01833,1
P01861,1
P02689,1
P04004,1
P04049|Q04917,1
P04626|P40337,1
P04637|P27694,1
P04798|P40337,1
P05019,1
P05106,1
P05108,1
P05111,1
P05556|O75578,1
P05556|P23229,1
P06239|P40337,1
P06396,1
P06400|Q96SW2,1
P06401|P40337,1
P06493|P20248|P78396,1
P06493|P24864|O96020,1
P06850,1
P07900|Q16543,1
P07942|Q96SW2,1
P07947|P40337,1
P07949|P33176|Q96SW2,1
P08069|P40337,1
P08134,1
P08575|Q96SW2,1
P08603,1
P08887,1
P08922|P40337,1
P08922|Q9HD26,1
P09619|Q96SW2,1
P09972,1
P0C0P6,1
P0CG47,1
P0CG48,1
P0DP24,1
P0DPA2,1
P10275|Q8IZL8,1
P10415|Q07812,1
P10636|Q13501,1
P10636|Q14145,1
P10721|Q96SW2,1
P10747,1
P11049,1
P11215,1
P11474|Q96SW2,1
P11802|P24385|Q9GZQ8,1
P11802|P24864|Q96SW2,1
P11831,1
P12318,1
P12872,1
P12931|P06239,1
P12931|P40337,1
P14416|P30989,1
P14784,1
P14867|P18507,1
P15121|Q13490,1
P15144|P55786|Q9H4A4|P53582|Q9UIQ6|Q9ULA0|Q07075|Q9NQW7|P28838|P50579|O43895|Q6P179|Q9NZ08|Q6Q4G3|Q8N6M6|Q6UB28|Q8NDH3|Q9HAU8|Q9NQH7,1
P15153|P60763|P63000,1
P15498,1
P15848,1
P16234|Q96SW2,1
P16410,1
P16455|Q96SW2,1
P17081,1
P18084,1
P18405|P31213|Q9H8P0,1
P18754,1
P19013,1
P19484,1
