Target,UniProt,Compounds
Cytochrome P450 2D7,A0A087X1C5,
E2F,A0AVK6,
Ubiquitin-like modifier-activating enzyme 6,A0AVT1,18.0
Extended synaptotagmin-2,A0FGR8,2.0
Immunity-related GTPase family M protein,A1A4Y4,1.0
2-hydroxyacyl-CoA lyase 2,A1L0T0,1.0
Pleckstrin homology domain-containing family G member 3,A1L390,1.0
Very long chain fatty acid elongase 7,A1L3X0,4.0
BCR/ABL p210 fusion protein,A1Z199,30.0
ADP-ribose glycohydrolase MACROD2,A1Z1Q3,6.0
NBAS subunit of NRZ tethering complex,A2RRP1,2.0
Laminin,A4D0S4,
Gamma-secretase-activating protein,A4D1B5,3.0
GTP-binding protein 10,A4D1E9,1.0
WD repeat-containing protein 91,A4D1P6,27.0
Putative phosphatidylinositol 4-kinase alpha-like protein P2,A4QPH2,14.0
26S proteasome,A5LHX3,69.0
PH and SEC7 domain-containing protein 1,A5PKW4,140.0
5-hydroxytryptamine receptor 3A/3E,A5X5Y0,1.0
CCR4-NOT transcription complex subunit 1,A5YKK6,5.0
Putative keratin-87 protein,A6NCN2,1.0
Glycerol-3-phosphate phosphatase,A6NDG6,1.0
Protein cereblon-alpha tubulin,A6NHL2,3.0
Structural maintenance of chromosomes flexible hinge domain-containing protein 1,A6NHR9,1.0
Putative annexin A2-like protein,A6NMY6,1.0
Collagen,A6NMZ7,
Ubiquitin carboxyl-terminal hydrolase 27,A6NNY8,5.0
Protein cereblon/Tubulin beta,A6NNZ2,3.0
Cardiac myosin,A7E2Y1,
TANK-binding kinase 1-binding protein 1,A7MCY6,3.0
"Complement component 3a receptor 1, isoform CRA_a",A8K2H7,4.0
Calcium-activated chloride channel,A8K7I4,
GABA-C receptor,A8MPY1,14.0
PHD finger protein 20-like protein 1,A8MW92,1.0
Calcium-activated potassium channel,A8MYU2,7.0
Collagen,A8TX70,
Unconventional myosin-Ig,B0I1T2,2.0
Peripheral-type benzodiazepine receptor,B1AH88,1.0
Lysine-specific demethylase 4E,B2RXH2,39588.0
CDC42BPA protein,B9EGA7,3.0
5-aminolevulinate synthase mRNA,ENSG00000023330,
Apo-B 100 mRNA,ENSG00000084674,
Survivin mRNA,ENSG00000089685,
Intercellular adhesion molecule-1 mRNA 3'UTR,ENSG00000090339,
Transforming growth factor beta-2 mRNA,ENSG00000092969,
ARSA,ENSG00000100299,
Hydroxyacid oxidase 1 mRNA,ENSG00000101323,
SMAD-7 mRNA,ENSG00000101665,
ABCD1,ENSG00000101986,
VEGFR1 mRNA,ENSG00000102755,
Heat shock protein beta-1 (HSP27) mRNA,ENSG00000106211,
Complement C5 mRNA,ENSG00000106804,
Apolipoprotein C-III mRNA,ENSG00000110245,
"Amiloride-sensitive sodium channel, ENaC mRNA",ENSG00000111319,
VEGF-A mRNA,ENSG00000112715,
Antithrombin mRNA,ENSG00000117601,
Transthyretin mRNA,ENSG00000118271,
Clusterin mRNA,ENSG00000120885,
DDC,ENSG00000132437,
Angiopoietin like 3 (ANGPTL3) mRNA,ENSG00000132855,
L-lactate dehydrogenase A chain mRNA,ENSG00000134333,
p53 mRNA,ENSG00000141510,
SOD1 mRNA,ENSG00000142168,
Protein kinase C alpha mRNA 3'UTR,ENSG00000154229,
"Amiloride-sensitive sodium channel, ENaC mRNA",ENSG00000166828,
"Amiloride-sensitive sodium channel, ENaC mRNA",ENSG00000168447,
STAT-3 mRNA 3'UTR,ENSG00000168610,
Insulin receptor substrate 1 mRNA,ENSG00000169047,
PCSK9 mRNA,ENSG00000169174,
Beta-2 adrenergic receptor mRNA,ENSG00000169252,
Bcl-2 mRNA,ENSG00000171791,
Ribonucleotide reductase small subunit mRNA,ENSG00000171848,
