Target,Accessions
CDK1/Cyclin A,P06493|P20248|P78396
Guanidinoacetate N-methyltransferase,Q14353
Serine/threonine-protein kinase 31,Q9BXU1
Calmodulin-2,P0DP24
Chromodomain-helicase-DNA-binding protein 1-like,Q86WJ1
Acyl-coenzyme A thioesterase 9, mitochondrial,Q9Y305
Histone H3.2,Q71DI3
Ras-related protein Rab-39A,Q14964
Tuberin,P49815
Guanine nucleotide-binding protein subunit alpha-12,Q03113
Syntaxin-binding protein 1,P61764
Ubiquilin-2,Q9UHD9
Importin subunit alpha-3,O00629
Secretory carrier-associated membrane protein 2,O15127
rRNA methyltransferase 1, mitochondrial,Q6IN84
E3 SUMO-protein ligase RanBP2,P49792
Integrin alpha-10,O75578
Spatacsin,Q96JI7
Bcl-2-like protein 13,Q9BXK5
Protein fem-1 homolog B/REST corepressor 1,Q9UKL0|Q9UK73
Hippocalcin-like protein 1,P37235
Phosphatidylinositol-binding clathrin assembly protein,Q13492
Forkhead box protein K1,P85037
Large ribosomal subunit protein eL34,P49207
Ubiquitin-conjugating enzyme E2 H,P62256
Annexin A13,P27216
Protein cereblon/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform,P48736|Q96SW2
ATP-sensitive inward rectifier potassium channel 12,Q14500
von Hippel-Lindau disease tumor suppressor/Barrier-to-autointegration factor,P40337|O75531
Charged multivesicular body protein 4b,Q9H444
Putative lipid scramblase CLPTM1,O96005
Kelch-like protein 6,Q8WZ60
Protein fem-1 homolog B/Nuclear receptor corepressor 1,O75376|Q9UK73
Protein DBF4 homolog A,Q9UBU7
Zinc transporter ZIP3,Q9BRY0
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase-like 2,Q92772|P40337
Pyrin,O15553
Microtubule-associated protein 1 light chain 3 beta/G1/S-specific cyclin-E1/Cyclin-dependent kinase 2,P24864|P24941|Q9GZQ8
SLP adapter and CSK-interacting membrane protein,Q6UWF3
Baculoviral IAP repeat-containing protein 2/Tyrosine-protein kinase BTK,Q06187|Q13490
Villin-1,P09327
WASH complex subunit 4,Q2M389
Bridging integrator 3,Q9NQY0
Ras-related protein Rab-22A,Q9UL26
Jupiter microtubule associated homolog 2,Q9H910
Receptor expression-enhancing protein 5,Q00765
Inactive histone-lysine N-methyltransferase 2E,Q8IZD2
Lysyl oxidase homolog 1,Q08397
Alpha-1-acid glycoprotein 2,P19652
Ceramide synthase 5,Q8N5B7
Proteasome activator complex subunit 4,Q14997
Proline-serine-threonine phosphatase-interacting protein 2,Q9H939
(E3-independent) E2 ubiquitin-conjugating enzyme,Q9C0C9
Pigment epithelium-derived factor,P36955
Leucine-rich repeat-containing protein 15,Q8TF66
Transforming growth factor-beta-induced protein ig-h3,Q15582
Serine/threonine-protein phosphatase 4 catalytic subunit,P60510
Dual oxidase 2,Q9NRD8
Heat shock 70 kDa protein 14,Q0VDF9
Nonsense-mediated mRNA decay factor SMG7,Q92540
Small ribosomal subunit protein mS35,P82673
Immunoglobulin heavy constant gamma 4,P01861
Natural cytotoxicity triggering receptor 1,O76036
Nuclear pore complex protein Nup50,Q9UKX7
Microtubule-associated protein 1 light chain 3 beta/Polycomb protein EED,O75530|Q9GZQ8
Peripheral-type benzodiazepine receptor,B1AH88
D-aminoacyl-tRNA deacylase 1,Q8TEA8
Cytoplasmic dynein 1 light intermediate chain 2,O43237
ER membrane protein complex subunit 3,Q9P0I2
