Target,Accessions,Compounds
Immunity-related GTPase family M protein,A1A4Y4,1
2-hydroxyacyl-CoA lyase 2,A1L0T0,1
Pleckstrin homology domain-containing family G member 3,A1L390,1
GTP-binding protein 10,A4D1E9,1
Putative keratin-87 protein,A6NCN2,1
Glycerol-3-phosphate phosphatase,A6NDG6,1
Structural maintenance of chromosomes flexible hinge domain-containing protein 1,A6NHR9,1
Putative annexin A2-like protein,A6NMY6,1
PHD finger protein 20-like protein 1,A8MW92,1
Peripheral-type benzodiazepine receptor,B1AH88,1
Deoxyribonuclease-2-alpha,O00115,1
Kinesin-like protein KIF2A,O00139,1
Cytosolic acyl coenzyme A thioester hydrolase,O00154,1
NF-kappa-B inhibitor epsilon,O00221,1
26S proteasome non-ATPase regulatory subunit 9,O00233,1
"Pyruvate dehydrogenase protein X component, mitochondrial",O00330,1
Histone deacetylase complex subunit SAP18,O00422,1
Insulin-like growth factor 2 mRNA-binding protein 3,O00425,1
Golgi integral membrane protein 4,O00461,1
Agrin,O00468,1
B-cell CLL/lymphoma 9 protein,O00512,1
Pescadillo homolog,O00541,1
Sodium-dependent phosphate transport protein 3,O00624,1
C-C motif chemokine 22,O00626,1
Importin subunit alpha-3,O00629,1
AT-rich interactive domain-containing protein 1A,O14497,1
TRAF-type zinc finger domain-containing protein 1,O14545,1
"Acyl carrier protein, mitochondrial",O14561,1
AP-3 complex subunit delta-1,O14617,1
Axin-1/DVL-2,O14641|O15169,1
Etoposide-induced protein 2.4 homolog,O14681,1
Protein cereblon/Dual specificity mitogen-activated protein kinase kinase 7,O14733|Q96SW2,1
Programmed cell death protein 5,O14737,1
Gamma-aminobutyric acid receptor subunit delta,O14764,1
Serine/threonine-protein phosphatase with EF-hands 1,O14829,1
Ubiquitin/ISG15-conjugating enzyme E2 L6,O14933,1
Myosin regulatory light chain 12B,O14950,1
von Hippel-Lindau disease tumor suppressor/Aurora kinase A,O14965|P40337,1
