UniProt,PocketCount,MaxScore,MeanScore,MaxDruggability,MeanDruggability,MaxSASA,MeanSASA,Compound
P42568,41,0.529,0.0227317073170731,0.529,0.0227317073170731,276.325,109.77282926829264,68
P53621,100,0.328,0.0146499999999999,0.328,0.0146499999999999,439.181,114.36723999999997,2
Q86Y34,47,0.766,0.0629148936170212,0.766,0.0629148936170212,253.284,104.74055319148935,2
O43790,23,0.539,0.0902608695652173,0.539,0.0902608695652173,172.648,87.09834782608696,1
Q9NP56,36,0.78,0.0701111111111111,0.78,0.0701111111111111,535.01,147.47944444444445,503
P04004,35,0.929,0.0453714285714285,0.929,0.0453714285714285,414.492,117.19937142857142,1
P80303,41,0.349,0.0304390243902438,0.349,0.0304390243902438,331.849,90.2678292682927,1
P48546,52,0.417,0.0344423076923076,0.417,0.0344423076923076,236.634,94.67632692307696,550
Q9BVK2,41,0.97,0.0955121951219512,0.97,0.0955121951219512,658.071,117.98329268292682,2
P07202,61,0.998,0.0393770491803278,0.998,0.0393770491803278,330.145,106.15452459016396,69
Q9NXA8,14,0.884,0.0647142857142857,0.884,0.0647142857142857,494.448,139.50585714285714,860
P09525,24,0.675,0.0552916666666666,0.675,0.0552916666666666,167.99,79.859375,2
Q4FZB7,62,0.284,0.0084677419354838,0.284,0.0084677419354838,870.871,126.39451612903224,62
Q13087,36,0.789,0.0244166666666666,0.789,0.0244166666666666,381.779,102.09744444444446,3
Q99757,8,0.202,0.056875,0.202,0.056875,119.009,76.21162500000001,8
P62841,14,0.624,0.0626428571428571,0.624,0.0626428571428571,174.922,106.65771428571428,2
P15144,58,0.609,0.0229482758620689,0.609,0.0229482758620689,343.311,112.46586206896552,715
Q13094,28,0.048,0.0050357142857142,0.048,0.0050357142857142,295.832,102.16653571428571,48
O60488,59,0.946,0.0468474576271186,0.946,0.0468474576271186,581.214,107.741813559322,11
O95477,209,0.992,0.0330478468899521,0.992,0.0330478468899521,1477.974,138.94579904306224,3
O95263,68,0.787,0.0168088235294117,0.787,0.0168088235294117,400.297,109.44251470588236,187
P16144,141,0.078,0.0029148936170212,0.078,0.0029148936170212,2047.961,137.91873758865248,3
P26010,49,0.408,0.0137551020408163,0.408,0.0137551020408163,281.939,101.61442857142856,3
Q9NUQ9,26,0.756,0.0305384615384615,0.756,0.0305384615384615,223.728,113.67576923076923,2
Q8N4C8,101,0.075,0.0041386138613861,0.075,0.0041386138613861,409.261,110.582099009901,1771
P14222,44,0.254,0.0139545454545454,0.254,0.0139545454545454,540.706,118.75556818181818,388
Q96PD7,29,0.678,0.0795172413793103,0.678,0.0795172413793103,228.353,110.88113793103447,1094
P78352,63,0.293,0.0103650793650793,0.293,0.0103650793650793,1046.796,149.4401904761905,85
Q9BV23,26,0.865,0.0438461538461538,0.865,0.0438461538461538,239.337,108.34746153846152,322
Q8NCG7,54,0.992,0.033037037037037,0.992,0.033037037037037,607.039,159.8321111111111,70
Q9NPJ3,10,0.456,0.0604,0.456,0.0604,95.661,80.26389999999999,1
Q86X76,15,0.329,0.0301333333333333,0.329,0.0301333333333333,464.15,96.93086666666667,1
Q13621,94,0.905,0.0260425531914893,0.905,0.0260425531914893,721.878,110.64151063829787,
P50583,10,0.321,0.033,0.321,0.033,325.508,100.401,1
Q02790,38,0.535,0.0281842105263157,0.535,0.0281842105263157,238.804,97.22552631578948,241
P32942,33,0.485,0.0197272727272727,0.485,0.0197272727272727,181.083,82.67363636363636,
P08709,36,0.277,0.0287222222222222,0.277,0.0287222222222222,325.08,108.72602777777772,795
P15311,61,0.357,0.0105737704918032,0.357,0.0105737704918032,536.914,106.83973770491806,18
O00468,151,0.54,0.0139006622516556,0.54,0.0139006622516556,570.351,124.80215894039736,1
Q96F46,69,0.204,0.0111449275362318,0.204,0.0111449275362318,1013.09,121.86630434782607,
O43684,20,0.256,0.02865,0.256,0.02865,142.601,85.63264999999998,3
Q9NS61,17,0.971,0.0705882352941176,0.971,0.0705882352941176,284.638,113.542,5
Q9HBW0,29,0.737,0.0427931034482758,0.737,0.0427931034482758,345.343,122.29958620689658,291
O00410,75,0.627,0.0170533333333333,0.627,0.0170533333333333,431.594,105.34489333333332,9
Q9Y5Y5,43,0.957,0.0593953488372092,0.957,0.0593953488372092,565.667,113.13174418604652,26
Q8IX18,76,0.444,0.0277236842105263,0.444,0.0277236842105263,527.233,116.46998684210529,1
Q14832,77,0.838,0.0147792207792207,0.838,0.0147792207792207,355.988,106.63098701298698,352
P16083,14,0.388,0.0336428571428571,0.388,0.0336428571428571,169.766,97.83214285714288,672
Q9P287,24,0.445,0.0275416666666666,0.445,0.0275416666666666,349.096,115.3591666666667,1
Q6S8J3,77,0.638,0.0184155844155844,0.638,0.0184155844155844,987.227,125.50967532467531,2
O14782,81,0.133,0.0055925925925925,0.133,0.0055925925925925,719.863,133.40041975308648,8
Q86WV7,16,0.69,0.0699999999999999,0.69,0.0699999999999999,145.867,79.36381250000002,1
Q9GZS3,10,0.424,0.0973,0.424,0.0973,233.385,118.0694,1
Q9UMX1,38,0.25,0.0090526315789473,0.25,0.0090526315789473,435.634,117.6933157894737,17
P30043,14,0.418,0.0332142857142857,0.418,0.0332142857142857,282.738,110.13757142857143,8
Q08ET2,24,0.344,0.02325,0.344,0.02325,160.185,93.56962500000002,6
Q9UQ88,74,0.884,0.0144459459459459,0.884,0.0144459459459459,384.158,101.61606756756753,292
Q9NTG7,24,0.719,0.0567916666666666,0.719,0.0567916666666666,361.657,136.94933333333333,1142
Q9UNX4,76,0.967,0.0310921052631578,0.967,0.0310921052631578,541.35,120.51180263157896,1
Q86SM8,25,0.87,0.0623199999999999,0.87,0.0623199999999999,238.138,99.74264000000002,2
Q9UI33,202,0.94,0.0237970297029702,0.94,0.0237970297029702,648.601,118.16249504950495,13
P20273,52,0.549,0.0167307692307692,0.549,0.0167307692307692,213.762,96.58575000000002,90
Q13112,34,0.665,0.0217941176470588,0.665,0.0217941176470588,558.635,122.98988235294118,1
Q02962,21,0.054,0.0059047619047619,0.054,0.0059047619047619,425.752,114.68919047619048,1
Q8WWY3,47,0.437,0.0278297872340425,0.437,0.0278297872340425,268.156,117.61682978723402,1
P29375,144,0.635,0.0099791666666666,0.635,0.0099791666666666,733.767,125.97741666666664,1147
P49888,21,0.999,0.0484761904761904,0.999,0.0484761904761904,381.567,99.1619523809524,55
P36542,22,0.801,0.0528636363636363,0.801,0.0528636363636363,200.191,100.83818181818182,3
Q9Y3F4,23,0.444,0.0222173913043478,0.444,0.0222173913043478,164.83,98.89891304347825,2
P54840,53,0.157,0.0090566037735849,0.157,0.0090566037735849,494.474,119.34279245283018,3
Q6P6C2,25,0.18,0.01624,0.18,0.01624,914.583,163.0394,201
