UniProt,PocketCount,MaxScore,MeanScore,MaxDruggability,MeanDruggability,MaxSASA,MeanSASA
P42568,41,0.529,0.022731707317073174,0.529,0.022731707317073174,276.325,109.77282926829265
P53621,100,0.328,0.014649999999999995,0.328,0.014649999999999995,439.181,114.36723999999997
Q86Y34,47,0.766,0.06291489361702124,0.766,0.06291489361702124,253.284,104.74055319148935
O43790,23,0.539,0.09026086956521735,0.539,0.09026086956521735,172.648,87.09834782608696
Q9NP56,36,0.78,0.07011111111111111,0.78,0.07011111111111111,535.01,147.47944444444445
P04004,35,0.929,0.045371428571428576,0.929,0.045371428571428576,414.492,117.19937142857142
P80303,41,0.349,0.03043902439024389,0.349,0.03043902439024389,331.849,90.2678292682927
P48546,52,0.417,0.03444230769230766,0.417,0.03444230769230766,236.634,94.67632692307696
Q9BVK2,41,0.97,0.09551219512195122,0.97,0.09551219512195122,658.071,117.98329268292682
P07202,61,0.998,0.03937704918032783,0.998,0.03937704918032783,330.145,106.15452459016396
Q9NXA8,14,0.884,0.06471428571428571,0.884,0.06471428571428571,494.448,139.50585714285714
P09525,24,0.675,0.05529166666666665,0.675,0.05529166666666665,167.99,79.859375
Q4FZB7,62,0.284,0.008467741935483872,0.284,0.008467741935483872,870.871,126.39451612903225
Q13087,36,0.789,0.02441666666666667,0.789,0.02441666666666667,381.779,102.09744444444446
Q99757,8,0.202,0.05687500000000001,0.202,0.05687500000000001,119.009,76.21162500000001
P62841,14,0.624,0.06264285714285714,0.624,0.06264285714285714,174.922,106.65771428571428
P15144,58,0.609,0.022948275862068962,0.609,0.022948275862068962,343.311,112.46586206896552
Q13094,28,0.048,0.005035714285714287,0.048,0.005035714285714287,295.832,102.16653571428571
O60488,59,0.946,0.046847457627118616,0.946,0.046847457627118616,581.214,107.74181355932201
O95477,209,0.992,0.03304784688995215,0.992,0.03304784688995215,1477.974,138.94579904306224
O95263,68,0.787,0.016808823529411765,0.787,0.016808823529411765,400.297,109.44251470588236
P16144,141,0.078,0.0029148936170212774,0.078,0.0029148936170212774,2047.961,137.91873758865248
P26010,49,0.408,0.013755102040816328,0.408,0.013755102040816328,281.939,101.61442857142855
Q9NUQ9,26,0.756,0.03053846153846154,0.756,0.03053846153846154,223.728,113.67576923076923
Q8N4C8,101,0.075,0.00413861386138614,0.075,0.00413861386138614,409.261,110.58209900990099
P14222,44,0.254,0.013954545454545457,0.254,0.013954545454545457,540.706,118.75556818181818
Q96PD7,29,0.678,0.07951724137931034,0.678,0.07951724137931034,228.353,110.88113793103449
P78352,63,0.293,0.010365079365079367,0.293,0.010365079365079367,1046.796,149.4401904761905
Q9BV23,26,0.865,0.043846153846153854,0.865,0.043846153846153854,239.337,108.34746153846153
Q8NCG7,54,0.992,0.03303703703703703,0.992,0.03303703703703703,607.039,159.8321111111111
Q9NPJ3,10,0.456,0.06040000000000001,0.456,0.06040000000000001,95.661,80.26389999999999
Q86X76,15,0.329,0.030133333333333335,0.329,0.030133333333333335,464.15,96.93086666666667
Q13621,94,0.905,0.026042553191489327,0.905,0.026042553191489327,721.878,110.64151063829789
P50583,10,0.321,0.033,0.321,0.033,325.508,100.40100000000001
Q02790,38,0.535,0.02818421052631577,0.535,0.02818421052631577,238.804,97.22552631578948
P32942,33,0.485,0.01972727272727273,0.485,0.01972727272727273,181.083,82.67363636363636
P08709,36,0.277,0.028722222222222222,0.277,0.028722222222222222,325.08,108.72602777777772
P15311,61,0.357,0.01057377049180328,0.357,0.01057377049180328,536.914,106.83973770491806
O00468,151,0.54,0.0139006622516556,0.54,0.0139006622516556,570.351,124.80215894039735
Q96F46,69,0.204,0.011144927536231886,0.204,0.011144927536231886,1013.09,121.86630434782609
O43684,20,0.256,0.028650000000000002,0.256,0.028650000000000002,142.601,85.63264999999998
Q9NS61,17,0.971,0.07058823529411763,0.971,0.07058823529411763,284.638,113.542
Q9HBW0,29,0.737,0.04279310344827585,0.737,0.04279310344827585,345.343,122.29958620689658
O00410,75,0.627,0.017053333333333313,0.627,0.017053333333333313,431.594,105.34489333333332
Q9Y5Y5,43,0.957,0.05939534883720929,0.957,0.05939534883720929,565.667,113.13174418604653
Q8IX18,76,0.444,0.027723684210526314,0.444,0.027723684210526314,527.233,116.46998684210527
Q14832,77,0.838,0.01477922077922075,0.838,0.01477922077922075,355.988,106.63098701298698
P16083,14,0.388,0.03364285714285715,0.388,0.03364285714285715,169.766,97.83214285714288
Q9P287,24,0.445,0.02754166666666667,0.445,0.02754166666666667,349.096,115.3591666666667
Q6S8J3,77,0.638,0.018415584415584406,0.638,0.018415584415584406,987.227,125.50967532467533
